file,class,method,variable,usage
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,CarType/0,rand,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,CarType/0,type,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,Numberplate/0,rand,4
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,Numberplate/0,alpha,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,Numberplate/0,dist,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,Numberplate/0,states,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,CardNumber/0,rand,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,CardType/0,rand,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,CardType/0,cardtype,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,CarColor/0,rand,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,CarColor/0,color,1
C:\projects\Parking_Lot\Payment.java,Payment,"TotalAmount/2[int,int]",TotalAmountForHour,2
C:\projects\Parking_Lot\Payment.java,Payment,"TotalAmount/2[int,int]",TotalAmountForMinute,4
C:\projects\Parking_Lot\Payment.java,Payment,"TotalAmount/2[int,int]",HourAmount,1
C:\projects\Parking_Lot\ParkingSpot.java,ParkingSpot,SpotNum/0,arr,2
C:\projects\Parking_Lot\ParkingSpot.java,ParkingSpot,sipe/0,arr,1
C:\projects\Parking_Lot\ParkingSpot.java,ParkingSpot,FreeSpot/1[int],arr,1
C:\projects\Parking_Lot\ParkingSpot.java,ParkingSpot,si/0,arr,2
C:\projects\Parking_Lot\Car.java,Car,getNumberPlate/0,NumberPlate,1
C:\projects\Parking_Lot\Car.java,Car,setNumberPlate/1[java.lang.String],NumberPlate,3
C:\projects\Parking_Lot\Car.java,Car,getCarType/0,CarType,1
C:\projects\Parking_Lot\Car.java,Car,setCarColor/1[java.lang.String],CarColor,3
C:\projects\Parking_Lot\Car.java,Car,getCarColor/0,CarColor,1
C:\projects\Parking_Lot\Car.java,Car,setCarType/1[java.lang.String],CarType,3
C:\projects\Parking_Lot\ParkingTicket.java,ParkingTicket,getTime/0,enterTime,1
C:\projects\Parking_Lot\ParkingTicket.java,ParkingTicket,setSpotNumber/1[int],SpotNumber,3
C:\projects\Parking_Lot\ParkingTicket.java,ParkingTicket,getDate/0,enterDate,1
C:\projects\Parking_Lot\ParkingTicket.java,ParkingTicket,setDate/1[java.lang.String],enterDate,3
C:\projects\Parking_Lot\ParkingTicket.java,ParkingTicket,setAssignedCar/1[Car],car,3
C:\projects\Parking_Lot\ParkingTicket.java,ParkingTicket,setCardNumber/1[long],CardNumber,3
C:\projects\Parking_Lot\ParkingTicket.java,ParkingTicket,setTime/1[java.lang.String],enterTime,3
C:\projects\Parking_Lot\ParkingTicket.java,ParkingTicket,getCardType/0,CardType,1
C:\projects\Parking_Lot\ParkingTicket.java,ParkingTicket,getSpotNumber/0,SpotNumber,1
C:\projects\Parking_Lot\ParkingTicket.java,ParkingTicket,setCardType/1[java.lang.String],CardType,3
C:\projects\Parking_Lot\ParkingTicket.java,ParkingTicket,getCardNumber/0,CardNumber,1
C:\projects\Parking_Lot\ParkingTicket.java,ParkingTicket,getAssignedCar/0,car,1
