file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,Time/0,false,35,0,1,1,0,1,3,6,1,3,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,7,1,0,false
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,ExitDate/0,false,53,0,1,1,0,1,2,4,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,CarType/0,false,28,0,1,1,0,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,Numberplate/0,false,15,0,1,1,0,1,1,6,1,3,0,1,0,0,0,0,0,1,3,4,3,3,0,0,0,0,4,1,0,false
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,Date/0,false,49,0,1,1,0,1,2,4,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,CardNumber/0,false,64,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,2,0,2,0,2,0,0,0,0,5,1,0,false
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,ExitTime/0,false,42,0,1,1,0,1,3,6,1,3,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,8,1,0,false
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,CardType/0,false,59,0,1,1,0,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,CarColor/0,false,23,0,1,1,0,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\projects\Parking_Lot\Payment.java,Payment,"TotalAmount/2[int,int]",false,7,0,1,1,0,7,0,13,1,0,2,0,0,0,0,0,0,1,0,9,4,2,1,0,0,0,5,1,0,false
C:\projects\Parking_Lot\ParkingSpot.java,ParkingSpot,SpotNum/0,false,6,0,1,1,0,3,0,11,1,2,0,0,0,0,1,1,0,0,0,6,4,2,2,0,0,0,4,1,0,false
C:\projects\Parking_Lot\ParkingSpot.java,ParkingSpot,sipe/0,false,31,0,1,1,0,2,2,7,0,1,0,2,0,0,1,0,0,0,2,2,1,1,1,0,0,0,3,1,0,false
C:\projects\Parking_Lot\ParkingSpot.java,ParkingSpot,FreeSpot/1[int],false,39,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,3,1,0,false
C:\projects\Parking_Lot\ParkingSpot.java,ParkingSpot,si/0,false,18,0,1,1,0,4,0,12,2,2,0,0,0,0,1,2,0,0,0,6,2,0,2,0,0,0,3,1,0,false
