file,class,method,variable,usage
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,Time/0,localTime,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,Time/0,dateTimeFormatter,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,Time/0,enterTime,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,ExitDate/0,date,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,CarType/0,typ,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,Numberplate/0,st,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,Numberplate/0,di,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,Numberplate/0,al,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,Date/0,mydate,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,ExitTime/0,localTime,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,ExitTime/0,dateTimeFormatter,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,ExitTime/0,exitTime,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,CardType/0,caty,1
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,CarColor/0,res,1
C:\projects\Parking_Lot\Payment.java,Payment,"TotalAmount/2[int,int]",Minute,6
C:\projects\Parking_Lot\Payment.java,Payment,"TotalAmount/2[int,int]",Hour,1
C:\projects\Parking_Lot\ParkingSpot.java,ParkingSpot,SpotNum/0,spot,2
C:\projects\Parking_Lot\ParkingSpot.java,ParkingSpot,SpotNum/0,i,6
C:\projects\Parking_Lot\ParkingSpot.java,ParkingSpot,sipe/0,i,3
C:\projects\Parking_Lot\ParkingSpot.java,ParkingSpot,FreeSpot/1[int],num,1
C:\projects\Parking_Lot\ParkingSpot.java,ParkingSpot,si/0,i,4
C:\projects\Parking_Lot\ParkingSpot.java,ParkingSpot,si/0,cheakspot,2
C:\projects\Parking_Lot\ParkingLot.java,ParkingLot,main/1[java.lang.String[]],date,2
C:\projects\Parking_Lot\ParkingLot.java,ParkingLot,main/1[java.lang.String[]],cartype,2
C:\projects\Parking_Lot\ParkingLot.java,ParkingLot,main/1[java.lang.String[]],parkingspot,4
C:\projects\Parking_Lot\ParkingLot.java,ParkingLot,main/1[java.lang.String[]],pt,6
C:\projects\Parking_Lot\ParkingLot.java,ParkingLot,main/1[java.lang.String[]],scan,2
C:\projects\Parking_Lot\ParkingLot.java,ParkingLot,main/1[java.lang.String[]],numberplate,2
C:\projects\Parking_Lot\ParkingLot.java,ParkingLot,main/1[java.lang.String[]],exitdate,2
C:\projects\Parking_Lot\ParkingLot.java,ParkingLot,main/1[java.lang.String[]],parkingticket,10
C:\projects\Parking_Lot\ParkingLot.java,ParkingLot,main/1[java.lang.String[]],carcolor,2
C:\projects\Parking_Lot\ParkingLot.java,ParkingLot,main/1[java.lang.String[]],entertime,1
