file,class,method,variable,usage
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\controllers\PincodeController.java,com.pincodes_api.controllers.PincodeController,getOnePin/1[int],ps,1
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\controllers\PincodeController.java,com.pincodes_api.controllers.PincodeController,getAllPins/0,ps,1
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\services\PincodeService.java,com.pincodes_api.services.PincodeService,getOne/1[int],temp,1
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\services\PincodeService.java,com.pincodes_api.services.PincodeService,getAll/0,temp,1
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\db\pincodes.java,com.pincodes_api.db.pincodes,getPincode/0,pincode,1
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\db\pincodes.java,com.pincodes_api.db.pincodes,setState/1[java.lang.String],state,3
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\db\pincodes.java,com.pincodes_api.db.pincodes,getDistrict/0,district,1
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\db\pincodes.java,com.pincodes_api.db.pincodes,setPincode/1[int],pincode,3
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\db\pincodes.java,com.pincodes_api.db.pincodes,"pincodes/3[int,java.lang.String,java.lang.String]",pincode,3
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\db\pincodes.java,com.pincodes_api.db.pincodes,"pincodes/3[int,java.lang.String,java.lang.String]",district,3
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\db\pincodes.java,com.pincodes_api.db.pincodes,"pincodes/3[int,java.lang.String,java.lang.String]",state,3
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\db\pincodes.java,com.pincodes_api.db.pincodes,getState/0,state,1
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\db\pincodes.java,com.pincodes_api.db.pincodes,setDistrict/1[java.lang.String],district,3
