file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\SFC-The-Game\src\game\level\Blood.java,game.level.Blood$Anonymous1,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,1,0,0,0,1,0,0,0,11,-1,0
C:\projects\SFC-The-Game\src\game\level\Blood.java,game.level.Blood$Anonymous2,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,1,0,0,3,2,0,0,1,0,0,0,9,-1,0
C:\projects\SFC-The-Game\src\game\level\Blood.java,game.level.Blood$Anonymous3,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,1,0,0,3,2,0,0,1,0,0,0,9,-1,0
C:\projects\SFC-The-Game\src\game\level\Blood.java,game.level.Blood$Anonymous4,anonymous,1,1,0,1,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,1,0,7,0,4,1,2,1,0,0,0,20,-1,0
C:\projects\SFC-The-Game\src\game\level\Breast.java,game.level.Breast$Anonymous4,anonymous,1,1,0,1,2,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,19,0,0,0,1,0,7,0,5,1,3,1,0,0,0,21,-1,0
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,class,3,5,2,3,20,5,0,32,79,0.83333343,0.018181818,0.018181818,15,0,11,4,0,0,11,0,0,0,6,0,0,6,0,0,0,0,5,86,0,1,1,1,0,2,8,14,3,10,2,0,0,0,67,1,0
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,class,0,9,9,0,17,1,1,1,0,0.46153846,0.6923077,1.0,13,0,13,0,0,0,13,0,0,0,4,0,0,4,0,0,0,0,1,55,7,0,0,0,2,2,6,16,2,4,1,0,0,0,19,1,0
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,class,3,5,2,3,13,3,0,6,18,0.73214287,0.06666667,0.06666667,8,0,6,2,0,0,6,0,0,0,4,0,0,4,0,0,0,0,0,49,0,0,0,0,0,0,0,9,4,7,1,0,0,0,21,1,0
C:\projects\SFC-The-Game\src\game\operator\GameManager.java,game.operator.GameManager,class,12,29,17,12,20,1,0,10,0,0.65000004,0.5277778,1.0,10,0,8,1,1,0,9,0,0,0,3,0,0,3,0,0,0,0,2,107,1,0,0,0,0,0,3,28,0,5,1,0,0,0,88,1,0
C:\projects\SFC-The-Game\src\game\frame\HowToPlay.java,game.frame.HowToPlay,class,4,6,2,4,14,2,0,15,15,0.71428573,0.06666667,0.06666667,7,0,6,1,0,0,6,0,0,0,3,0,0,3,0,0,0,0,4,57,0,3,3,1,1,6,7,12,0,9,2,0,0,0,47,1,0
C:\projects\SFC-The-Game\src\game\level\Breast.java,game.level.Breast$Anonymous3,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,1,0,0,0,1,0,0,0,11,-1,0
