file,class,method,variable,usage
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,initial/0,manager,1
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,initial/0,gameRunning,1
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,initial/0,screen,2
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,initial/0,pane,1
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,initial/0,gameOver,1
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,addNotify/0,runnerThread,3
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,run/0,gameRunning,1
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,render/0,screen,1
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,mouseClicked/1[java.awt.event.MouseEvent],manager,1
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,keyPressed/1[java.awt.event.KeyEvent],manager,1
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,update/0,manager,2
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,update/0,gameRunning,1
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,update/0,gameOver,1
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,draw/0,manager,1
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,draw/0,pane,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,getY/0,y,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,setWidth/1[int],width,3
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,"Square/2[int,int]",x,3
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,"Square/2[int,int]",width,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,"Square/2[int,int]",y,3
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,"Square/2[int,int]",height,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,"isInside/2[int,int]",x,5
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,"isInside/2[int,int]",width,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,"isInside/2[int,int]",y,5
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,"isInside/2[int,int]",height,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,getWidth/0,width,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,getHeight/0,height,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,"Square/4[int,int,int,int]",x,3
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,"Square/4[int,int,int,int]",width,3
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,"Square/4[int,int,int,int]",y,3
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,"Square/4[int,int,int,int]",height,3
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,setX/1[int],x,3
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,toString/0,x,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,toString/0,width,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,toString/0,y,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,toString/0,height,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,setY/1[int],y,3
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,Square/0,x,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,Square/0,width,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,Square/0,y,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,Square/0,height,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,getX/0,x,1
C:\projects\SFC-The-Game\src\object\structure\Square.java,object.structure.Square,setHeight/1[int],height,3
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,setup/0,centerY,1
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,setup/0,centerX,1
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,setup/0,up,1
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,positionCheck/0,endY,1
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,positionCheck/0,endX,1
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,positionCheck/0,centerY,1
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,positionCheck/0,centerX,1
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,positionCheck/0,up,2
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,"setMotion/4[int,int,int,int]",endY,3
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,"setMotion/4[int,int,int,int]",endX,3
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,"setMotion/4[int,int,int,int]",speedY,3
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,"setMotion/4[int,int,int,int]",speedX,3
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,move/0,speedY,2
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,move/0,speedX,2
C:\projects\SFC-The-Game\src\object\structure\MotionCell.java,object.structure.MotionCell,move/0,up,1
C:\projects\SFC-The-Game\src\game\operator\GameManager.java,game.operator.GameManager,update/0,currentWindow,1
C:\projects\SFC-The-Game\src\game\operator\GameManager.java,game.operator.GameManager,keyPressed/1[int],currentWindow,1
C:\projects\SFC-The-Game\src\game\operator\GameManager.java,game.operator.GameManager,loadWindow/1[int],currentWindow,10
C:\projects\SFC-The-Game\src\game\operator\GameManager.java,game.operator.GameManager,loadWindow/1[int],currentIndex,10
C:\projects\SFC-The-Game\src\game\operator\GameManager.java,game.operator.GameManager,"mouseClicked/2[int,int]",currentWindow,1
C:\projects\SFC-The-Game\src\game\operator\GameManager.java,game.operator.GameManager,GameManager/0,exitClicked,1
C:\projects\SFC-The-Game\src\game\operator\GameManager.java,game.operator.GameManager,GameManager/0,currentIndex,1
C:\projects\SFC-The-Game\src\game\operator\GameManager.java,game.operator.GameManager,gameExit/0,exitClicked,1
C:\projects\SFC-The-Game\src\game\operator\GameManager.java,game.operator.GameManager,loadReleased/0,releasedWindow,2
C:\projects\SFC-The-Game\src\game\operator\GameManager.java,game.operator.GameManager,loadReleased/0,currentWindow,3
C:\projects\SFC-The-Game\src\game\operator\GameManager.java,game.operator.GameManager,draw/1[java.awt.Graphics2D],currentWindow,1
C:\projects\SFC-The-Game\src\game\operator\GameManager.java,game.operator.GameManager,releaseWindow/0,releasedWindow,1
C:\projects\SFC-The-Game\src\game\operator\GameManager.java,game.operator.GameManager,releaseWindow/0,currentWindow,1
C:\projects\SFC-The-Game\src\game\operator\GameManager.java,game.operator.GameManager,isExit/0,exitClicked,1
C:\projects\SFC-The-Game\src\game\frame\HowToPlay.java,game.frame.HowToPlay,HowToPlay/1[game.operator.GameManager],headerFont,1
C:\projects\SFC-The-Game\src\game\frame\HowToPlay.java,game.frame.HowToPlay,HowToPlay/1[game.operator.GameManager],store,1
C:\projects\SFC-The-Game\src\game\frame\HowToPlay.java,game.frame.HowToPlay,HowToPlay/1[game.operator.GameManager],textFont,1
C:\projects\SFC-The-Game\src\game\frame\HowToPlay.java,game.frame.HowToPlay,draw/1[java.awt.Graphics2D],yPos,3
C:\projects\SFC-The-Game\src\game\frame\HowToPlay.java,game.frame.HowToPlay,draw/1[java.awt.Graphics2D],headerFont,1
C:\projects\SFC-The-Game\src\game\frame\HowToPlay.java,game.frame.HowToPlay,draw/1[java.awt.Graphics2D],textFont,1
C:\projects\SFC-The-Game\src\game\frame\HowToPlay.java,game.frame.HowToPlay,draw/1[java.awt.Graphics2D],store,1
C:\projects\SFC-The-Game\src\game\frame\HowToPlay.java,game.frame.HowToPlay,loadFile/0,store,1
C:\projects\SFC-The-Game\src\game\frame\Opening.java,game.frame.Opening,Opening/1[game.operator.GameManager],background,1
C:\projects\SFC-The-Game\src\game\frame\Opening.java,game.frame.Opening,Opening/1[game.operator.GameManager],titleFont,1
C:\projects\SFC-The-Game\src\game\frame\Opening.java,game.frame.Opening,Opening/1[game.operator.GameManager],textFont,1
C:\projects\SFC-The-Game\src\game\frame\Opening.java,game.frame.Opening,Opening/1[game.operator.GameManager],anim,1
C:\projects\SFC-The-Game\src\game\frame\Opening.java,game.frame.Opening,counter/0,background,1
C:\projects\SFC-The-Game\src\game\frame\Opening.java,game.frame.Opening,draw/1[java.awt.Graphics2D],titleFont,1
C:\projects\SFC-The-Game\src\game\frame\Opening.java,game.frame.Opening,draw/1[java.awt.Graphics2D],textFont,1
C:\projects\SFC-The-Game\src\game\frame\Opening.java,game.frame.Opening,draw/1[java.awt.Graphics2D],anim,1
C:\projects\SFC-The-Game\src\game\frame\Dashboard.java,game.frame.Dashboard,drawToolShop/1[java.awt.Graphics2D],userInfoFont,1
C:\projects\SFC-The-Game\src\game\frame\Dashboard.java,game.frame.Dashboard,drawToolShop/1[java.awt.Graphics2D],toolBt,4
C:\projects\SFC-The-Game\src\game\frame\Dashboard.java,game.frame.Dashboard,loadInformations/0,highScorer,1
C:\projects\SFC-The-Game\src\game\frame\Dashboard.java,game.frame.Dashboard,loadInformations/0,chemo,1
C:\projects\SFC-The-Game\src\game\frame\Dashboard.java,game.frame.Dashboard,loadInformations/0,userPoint,1
C:\projects\SFC-The-Game\src\game\frame\Dashboard.java,game.frame.Dashboard,loadInformations/0,highScore,1
