file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\SFC-The-Game\src\game\level\Blood.java,game.level.Blood$Anonymous1,run/0,false,302,2,3,0,3,2,3,9,0,0,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,11,1,0,false
C:\projects\SFC-The-Game\src\game\level\Blood.java,game.level.Blood$Anonymous2,run/0,false,478,1,3,0,3,2,2,11,0,0,0,2,0,0,0,0,1,0,0,3,2,0,1,0,0,0,9,1,0,false
C:\projects\SFC-The-Game\src\game\level\Blood.java,game.level.Blood$Anonymous3,run/0,false,496,1,3,0,3,2,2,11,0,0,0,2,0,0,0,0,1,0,0,3,2,0,1,0,0,0,9,1,0,false
C:\projects\SFC-The-Game\src\game\level\Blood.java,game.level.Blood$Anonymous4,run/0,false,538,1,3,0,3,2,7,14,0,2,0,7,0,0,0,0,1,0,7,0,4,1,1,0,0,0,20,1,0,false
C:\projects\SFC-The-Game\src\game\level\Breast.java,game.level.Breast$Anonymous4,run/0,false,429,1,3,0,3,2,9,17,0,3,0,9,0,0,0,0,1,0,7,0,5,1,1,0,0,0,21,1,0,false
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,initial/0,false,46,1,2,1,1,1,1,7,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,19,2,0,true
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,keyTyped/1[java.awt.event.KeyEvent],false,114,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,addNotify/0,false,75,0,0,0,0,2,4,9,0,0,0,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10,1,0,true
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,run/0,false,87,1,4,0,4,4,8,21,0,3,0,8,4,1,1,0,1,0,0,4,5,3,2,0,0,0,14,1,0,false
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,mousePressed/1[java.awt.event.MouseEvent],false,133,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,keyReleased/1[java.awt.event.KeyEvent],false,124,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
