file,class,method,variable,usage
C:\projects\SFC-The-Game\src\game\level\Blood.java,game.level.Blood$Anonymous1,run/0,e,0
C:\projects\SFC-The-Game\src\game\level\Blood.java,game.level.Blood$Anonymous2,run/0,e,0
C:\projects\SFC-The-Game\src\game\level\Blood.java,game.level.Blood$Anonymous3,run/0,e,0
C:\projects\SFC-The-Game\src\game\level\Blood.java,game.level.Blood$Anonymous4,run/0,file,1
C:\projects\SFC-The-Game\src\game\level\Blood.java,game.level.Blood$Anonymous4,run/0,ex,1
C:\projects\SFC-The-Game\src\game\level\Blood.java,game.level.Blood$Anonymous4,run/0,bw,3
C:\projects\SFC-The-Game\src\game\level\Breast.java,game.level.Breast$Anonymous4,run/0,fw,3
C:\projects\SFC-The-Game\src\game\level\Breast.java,game.level.Breast$Anonymous4,run/0,file,1
C:\projects\SFC-The-Game\src\game\level\Breast.java,game.level.Breast$Anonymous4,run/0,ex,1
C:\projects\SFC-The-Game\src\game\level\Breast.java,game.level.Breast$Anonymous4,run/0,bw,3
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,keyTyped/1[java.awt.event.KeyEvent],e,0
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,run/0,dif,3
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,run/0,wait,4
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,run/0,before,2
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,run/0,e,1
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,mousePressed/1[java.awt.event.MouseEvent],e,0
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,keyReleased/1[java.awt.event.KeyEvent],e,0
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,render/0,graph,2
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,mouseExited/1[java.awt.event.MouseEvent],e,0
C:\projects\SFC-The-Game\src\game\operator\GamePanel.java,game.operator.GamePanel,mouseClicked/1[java.awt.event.MouseEvent],e,2
