file,class,method,variable,usage
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,generateRandomMap/0,r,1
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeSnowMap/0,r,4
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeSnowMap/0,mapSize,5
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeGrassMap/0,r,5
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeGrassMap/0,mapSize,5
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeMockMap/0,r,1
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeMockMap/0,mapSize,4
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeDesertMap/0,r,4
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeDesertMap/0,mapSize,5
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeLavaMap/0,r,4
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeLavaMap/0,mapSize,5
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,render/1[characters.SpriteBatch],time,2
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,render/1[characters.SpriteBatch],animation,1
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,setCharWorldPos/1[characters.Vector2],charWorldPos,3
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,getMovementCapacity/0,movementCapacity,1
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,makeAnimation/1[characters.Texture],t,5
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,makeAnimation/1[characters.Texture],regionMovement,3
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,makeAnimation/1[characters.Texture],animation,1
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,calculateWorldPos/1[characters.Vector2],charMapPos,1
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,setCharMapPos/1[characters.Vector2],charMapPos,3
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,"Character/3[characters.Texture,characters.Vector2,int]",movementCapacity,3
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,"Character/3[characters.Texture,characters.Vector2,int]",charMapPos,4
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,"Character/3[characters.Texture,characters.Vector2,int]",charWorldPos,1
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,"Character/3[characters.Texture,characters.Vector2,int]",t,4
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,getCharMapPos/0,charMapPos,1
C:\projects\TacticalRPG\core\src\main\java\com\rotirmar\athena\Game.java,com.rotirmar.athena.Game,create/0,batch,2
C:\projects\TacticalRPG\core\src\main\java\com\rotirmar\athena\Game.java,com.rotirmar.athena.Game,dispose/0,batch,1
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,render/1[mapTileByTile.SpriteBatch],textureSelected,1
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,render/1[mapTileByTile.SpriteBatch],texture,1
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,render/1[mapTileByTile.SpriteBatch],isSelected,1
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,getOccupied/0,occupied,1
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,setSelected/1[java.lang.Boolean],isSelected,1
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,getTexture/0,texture,1
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,setOccupied/1[java.lang.Boolean],occupied,3
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,getTileMapPos/0,tileMapPos,1
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,isAccessible/0,accessible,1
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,getSelected/0,isSelected,1
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,"Tile/5[java.lang.Boolean,mapTileByTile.TextureRegion,mapTileByTile.TextureRegion,mapTileByTile.Vector2,mapTileByTile.Vector2]",accessible,3
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,"Tile/5[java.lang.Boolean,mapTileByTile.TextureRegion,mapTileByTile.TextureRegion,mapTileByTile.Vector2,mapTileByTile.Vector2]",texture,3
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,"Tile/5[java.lang.Boolean,mapTileByTile.TextureRegion,mapTileByTile.TextureRegion,mapTileByTile.Vector2,mapTileByTile.Vector2]",textureSelected,3
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,"Tile/5[java.lang.Boolean,mapTileByTile.TextureRegion,mapTileByTile.TextureRegion,mapTileByTile.Vector2,mapTileByTile.Vector2]",isSelected,1
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,"Tile/5[java.lang.Boolean,mapTileByTile.TextureRegion,mapTileByTile.TextureRegion,mapTileByTile.Vector2,mapTileByTile.Vector2]",tileWorldPos,3
C:\projects\TacticalRPG\core\src\main\java\mapTileByTile\Tile.java,mapTileByTile.Tile,"Tile/5[java.lang.Boolean,mapTileByTile.TextureRegion,mapTileByTile.TextureRegion,mapTileByTile.Vector2,mapTileByTile.Vector2]",tileMapPos,3
