file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,generateRandomMap/0,FALSE,25,1,5,1,4,5,5,13,5,0,0,5,4,1,0,0,0,0,0,5,0,0,1,0,0,0,9,1,0,FALSE
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeSnowMap/0,FALSE,39,0,2,2,0,9,2,27,1,4,0,2,0,0,2,1,0,0,7,11,10,3,5,0,0,0,9,1,0,FALSE
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeGrassMap/0,FALSE,95,0,2,2,0,10,2,32,1,4,0,2,0,0,2,1,0,0,8,13,11,3,6,0,0,0,9,1,0,FALSE
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,"selectType/2[java.lang.String,java.io.BufferedWriter]",FALSE,155,1,6,1,5,7,7,24,0,0,2,7,5,2,0,0,1,0,5,0,0,0,2,0,0,0,17,2,0,FALSE
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeMockMap/0,FALSE,179,0,0,0,0,6,2,16,1,3,0,2,0,0,2,0,0,0,5,6,7,2,3,0,0,0,8,1,0,FALSE
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeDesertMap/0,FALSE,127,0,2,2,0,9,2,27,1,4,0,2,0,0,2,1,0,0,7,11,10,3,4,0,0,0,9,1,0,FALSE
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeMap/1[java.lang.String],FALSE,13,1,2,1,1,2,3,12,0,3,1,3,1,3,0,0,1,0,2,0,3,1,1,0,0,0,17,1,0,FALSE
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeLavaMap/0,FALSE,67,0,2,2,0,9,2,27,1,4,0,2,0,0,2,1,0,0,7,11,10,3,5,0,0,0,9,1,0,FALSE
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,render/1[characters.SpriteBatch],FALSE,49,2,1,1,0,1,3,5,0,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,FALSE
C:\projects\TacticalRPG\core\src\main\java\characters\Character.java,characters.Character,setCharWorldPos/1[characters.Vector2],FALSE,67,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,FALSE
