file,class,method,variable,usage
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeSnowMap/0,i,4
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeSnowMap/0,j,3
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeSnowMap/0,river,1
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeSnowMap/0,snowMap,13
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeGrassMap/0,grassMap,15
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeGrassMap/0,i,4
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeGrassMap/0,j,3
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeGrassMap/0,river,1
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,"selectType/2[java.lang.String,java.io.BufferedWriter]",bufferedWriter,5
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,"selectType/2[java.lang.String,java.io.BufferedWriter]",e,1
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,"selectType/2[java.lang.String,java.io.BufferedWriter]",mapType,1
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeMockMap/0,mockMap,9
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeMockMap/0,i,3
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeMockMap/0,j,3
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeDesertMap/0,desertMap,13
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeDesertMap/0,i,4
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeDesertMap/0,j,3
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeDesertMap/0,river,1
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeMap/1[java.lang.String],bufferedWriter,2
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeMap/1[java.lang.String],ruta,1
C:\projects\TacticalRPG\core\src\main\java\mapGenerator\Cartographer.java,mapGenerator.Cartographer,writeMap/1[java.lang.String],e,1
