file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\AnnouncementServices.java,com.transport.university.universitytransportsystem.service.AnnouncementServices,class,6,7,1,6,6,1,0,5,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,21,3,0,0,0,0,4,0,0,2,1,1,0,0,0,16,1,0
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\exceptions\notification\NotificationIdExceptionResponse.java,com.transport.university.universitytransportsystem.exceptions.notification.NotificationIdExceptionResponse,class,3,4,1,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\model\Driver.java,com.transport.university.universitytransportsystem.model.Driver,class,16,26,10,16,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,12,0,2,0,6,0,0,0,0,23,1,0
C:\projects\University-Transport-System\rest-api\src\test\java\com\transport\university\universitytransportsystem\UniversityTransportSystemApplicationTests.java,com.transport.university.universitytransportsystem.UniversityTransportSystemApplicationTests,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,class,16,16,0,16,7,1,0,8,0,0.53333336,1.0,1.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,25,7,0,2,0,0,11,0,2,1,4,1,0,0,0,31,1,0
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\exceptions\user\UserEmailNotFoundException.java,com.transport.university.universitytransportsystem.exceptions.user.UserEmailNotFoundException,class,1,3,2,1,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\repository\StoppageRepo.java,com.transport.university.universitytransportsystem.repository.StoppageRepo,interface,2,5,3,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,class,16,16,0,16,12,1,0,12,0,0.3888889,1.0,1.0,9,0,9,0,0,0,9,0,0,0,2,0,0,2,0,0,0,0,0,37,12,0,3,0,0,20,0,2,1,4,1,0,0,0,50,1,0
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\exceptions\announcement\AnnouncementNotFoundExceptionResponse.java,com.transport.university.universitytransportsystem.exceptions.announcement.AnnouncementNotFoundExceptionResponse,class,3,4,1,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\exceptions\busReport\BusReportIdExceptionResponse.java,com.transport.university.universitytransportsystem.exceptions.busReport.BusReportIdExceptionResponse,class,3,4,1,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\model\Role.java,com.transport.university.universitytransportsystem.model.Role,class,7,9,2,7,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,1,0
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\UserServices.java,com.transport.university.universitytransportsystem.service.UserServices,class,5,7,2,5,9,1,0,5,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,27,7,0,2,0,0,0,0,3,0,4,1,0,0,0,15,1,0
