file,class,method,variable,usage
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\AnnouncementServices.java,com.transport.university.universitytransportsystem.service.AnnouncementServices,saveOrUpdate/1[com.transport.university.universitytransportsystem.model.Announcement],announcementRepo,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\AnnouncementServices.java,com.transport.university.universitytransportsystem.service.AnnouncementServices,get/1[java.lang.Long],announcementRepo,2
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\AnnouncementServices.java,com.transport.university.universitytransportsystem.service.AnnouncementServices,getAll/0,announcementRepo,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\AnnouncementServices.java,com.transport.university.universitytransportsystem.service.AnnouncementServices,delete/1[java.lang.Long],announcementRepo,2
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,getAllRoutes/0,routeServices,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,deleteRouteById/1[java.lang.Integer],routeServices,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,getRoute/1[java.lang.Integer],routeServices,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,getDetailRouteByRouteId/1[java.lang.Integer],routeServices,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,"addRoute/2[com.transport.university.universitytransportsystem.model.Route,com.transport.university.universitytransportsystem.controller.BindingResult]",routeValidatorServices,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,"addRoute/2[com.transport.university.universitytransportsystem.model.Route,com.transport.university.universitytransportsystem.controller.BindingResult]",routeServices,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,"addRoute/2[com.transport.university.universitytransportsystem.model.Route,com.transport.university.universitytransportsystem.controller.BindingResult]",errorService,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getBusByBusNumber/1[java.lang.String],busServices,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getBusReports/1[java.lang.Integer],busServices,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getBusByBusId/1[java.lang.Integer],busServices,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getSchedules/1[java.lang.Integer],busServices,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,"addNewBus/2[com.transport.university.universitytransportsystem.model.Bus,com.transport.university.universitytransportsystem.controller.BindingResult]",busServices,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,"addNewBus/2[com.transport.university.universitytransportsystem.model.Bus,com.transport.university.universitytransportsystem.controller.BindingResult]",errorService,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,"updateBusInfo/2[com.transport.university.universitytransportsystem.model.Bus,com.transport.university.universitytransportsystem.controller.BindingResult]",busServices,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,"updateBusInfo/2[com.transport.university.universitytransportsystem.model.Bus,com.transport.university.universitytransportsystem.controller.BindingResult]",errorService,2
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getAllBuses/0,busServices,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,deleteBusByBusId/1[java.lang.Integer],busServices,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,"markBusAsFinishedTrip/2[java.lang.Integer,java.lang.Integer]",busServices,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\UserServices.java,com.transport.university.universitytransportsystem.service.UserServices,getUserByUserId/1[java.lang.Integer],userRepo,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\UserServices.java,com.transport.university.universitytransportsystem.service.UserServices,unblockUser/1[java.lang.Integer],userRepo,3
