file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\AnnouncementServices.java,com.transport.university.universitytransportsystem.service.AnnouncementServices,saveOrUpdate/1[com.transport.university.universitytransportsystem.model.Announcement],false,20,1,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\AnnouncementServices.java,com.transport.university.universitytransportsystem.service.AnnouncementServices,get/1[java.lang.Long],false,24,2,2,1,1,2,2,6,1,0,1,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,8,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\AnnouncementServices.java,com.transport.university.universitytransportsystem.service.AnnouncementServices,getAll/0,false,38,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\AnnouncementServices.java,com.transport.university.universitytransportsystem.service.AnnouncementServices,delete/1[java.lang.Long],false,31,1,2,1,1,2,2,6,0,0,1,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,8,1,0,false
C:\projects\University-Transport-System\rest-api\src\test\java\com\transport\university\universitytransportsystem\UniversityTransportSystemApplicationTests.java,com.transport.university.universitytransportsystem.UniversityTransportSystemApplicationTests,contextLoads/0,false,10,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,getAllRoutes/0,false,40,3,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,deleteRouteById/1[java.lang.Integer],false,50,4,1,0,1,1,1,4,1,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,8,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,getRoute/1[java.lang.Integer],false,45,4,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,getDetailRouteByRouteId/1[java.lang.Integer],false,56,4,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,"addRoute/2[com.transport.university.universitytransportsystem.model.Route,com.transport.university.universitytransportsystem.controller.BindingResult]",false,31,9,3,0,3,3,4,7,3,1,2,4,0,0,0,2,0,0,1,0,2,0,1,0,0,0,7,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\exceptions\user\UserEmailNotFoundException.java,com.transport.university.universitytransportsystem.exceptions.user.UserEmailNotFoundException,UserEmailNotFoundException/1[java.lang.String],true,9,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\repository\StoppageRepo.java,com.transport.university.universitytransportsystem.repository.StoppageRepo,findByStoppageName/1[java.lang.String],false,8,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\repository\StoppageRepo.java,com.transport.university.universitytransportsystem.repository.StoppageRepo,existsByStoppageName/1[java.lang.String],false,10,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getBusByBusNumber/1[java.lang.String],false,58,4,1,0,1,1,2,3,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getBusReports/1[java.lang.Integer],false,68,4,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getBusByBusId/1[java.lang.Integer],false,53,4,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getSchedules/1[java.lang.Integer],false,63,4,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,0,false
