file,class,method,variable,usage
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\AnnouncementServices.java,com.transport.university.universitytransportsystem.service.AnnouncementServices,saveOrUpdate/1[com.transport.university.universitytransportsystem.model.Announcement],announcement,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\AnnouncementServices.java,com.transport.university.universitytransportsystem.service.AnnouncementServices,get/1[java.lang.Long],id,3
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\AnnouncementServices.java,com.transport.university.universitytransportsystem.service.AnnouncementServices,delete/1[java.lang.Long],id,3
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,deleteRouteById/1[java.lang.Integer],routeId,2
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,getRoute/1[java.lang.Integer],routeId,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,getDetailRouteByRouteId/1[java.lang.Integer],routeId,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,"addRoute/2[com.transport.university.universitytransportsystem.model.Route,com.transport.university.universitytransportsystem.controller.BindingResult]",result,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,"addRoute/2[com.transport.university.universitytransportsystem.model.Route,com.transport.university.universitytransportsystem.controller.BindingResult]",errorMap,5
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RouteController.java,com.transport.university.universitytransportsystem.controller.RouteController,"addRoute/2[com.transport.university.universitytransportsystem.model.Route,com.transport.university.universitytransportsystem.controller.BindingResult]",route,2
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\exceptions\user\UserEmailNotFoundException.java,com.transport.university.universitytransportsystem.exceptions.user.UserEmailNotFoundException,UserEmailNotFoundException/1[java.lang.String],message,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\repository\StoppageRepo.java,com.transport.university.universitytransportsystem.repository.StoppageRepo,findByStoppageName/1[java.lang.String],stoppageName,0
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\repository\StoppageRepo.java,com.transport.university.universitytransportsystem.repository.StoppageRepo,existsByStoppageName/1[java.lang.String],stoppageName,0
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getBusByBusNumber/1[java.lang.String],busNumber,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getBusReports/1[java.lang.Integer],busId,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getBusByBusId/1[java.lang.Integer],busId,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getSchedules/1[java.lang.Integer],busId,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,"addNewBus/2[com.transport.university.universitytransportsystem.model.Bus,com.transport.university.universitytransportsystem.controller.BindingResult]",result,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,"addNewBus/2[com.transport.university.universitytransportsystem.model.Bus,com.transport.university.universitytransportsystem.controller.BindingResult]",bus,1
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,"addNewBus/2[com.transport.university.universitytransportsystem.model.Bus,com.transport.university.universitytransportsystem.controller.BindingResult]",errorMap,2
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,"updateBusInfo/2[com.transport.university.universitytransportsystem.model.Bus,com.transport.university.universitytransportsystem.controller.BindingResult]",result,1
