file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,class,22,23,1,22,48,1,0,87,0,0.80555564,0.6909091,1.0,18,0,10,7,0,1,11,0,0,0,28,0,0,24,0,4,1,0,32,371,0,6,5,7,4,133,39,106,29,114,5,0,0,6,215,1,0
C:\projects\store-pos\src\controller\AddSalesController.java,controller.AddSalesController,class,21,29,8,21,48,1,0,88,0,0.8055556,0.6909091,1.0,18,0,10,7,0,1,11,0,0,0,30,0,0,26,0,4,1,0,33,379,0,6,5,7,4,141,39,106,29,116,5,0,0,6,215,1,0
C:\projects\store-pos\src\controller\ListSalesReturnController.java,controller.ListSalesReturnController,class,18,19,1,18,12,1,0,40,0,0.6333333,0.0,0.0,6,0,2,4,0,0,2,0,0,0,5,1,0,5,0,0,2,0,9,100,2,1,0,4,3,41,6,30,4,30,3,0,0,0,114,1,0
C:\projects\store-pos\src\controller\ListPurchaseReturnController.java,controller.ListPurchaseReturnController,class,18,19,1,18,12,1,0,40,0,0.6333333,0.0,0.0,6,0,2,4,0,0,2,0,0,0,5,1,0,5,0,0,2,0,9,100,2,1,0,4,3,41,6,30,4,30,3,0,0,0,114,1,0
C:\projects\store-pos\src\controller\EditPurchaseController.java,controller.EditPurchaseController,class,26,27,1,26,50,1,0,96,0,0.8111112,0.76363635,1.0,18,0,10,7,0,1,11,0,0,0,30,1,1,25,0,4,1,0,40,387,0,7,5,8,5,140,39,107,33,114,5,0,0,6,196,1,0
C:\projects\store-pos\src\controller\EditPurchaseReturnController.java,controller.EditPurchaseReturnController,class,26,27,1,26,50,1,0,96,0,0.8111112,0.76363635,1.0,18,0,10,7,0,1,11,0,0,0,30,1,1,25,0,4,1,0,40,387,0,7,5,8,5,140,39,107,33,114,5,0,0,6,198,1,0
C:\projects\store-pos\src\database\DbConnection.java,database.DbConnection,class,2,15,13,2,6,1,0,5,4,0.625,0.0,0.0,4,2,3,1,0,0,3,0,0,0,2,1,0,2,0,0,0,0,3,25,2,0,1,1,0,3,0,2,0,2,1,0,0,0,14,1,0
C:\projects\store-pos\src\model\SalesReturnModel.java,model.SalesReturnModel,class,0,1,1,0,20,1,0,0,136,0.84999996,0.14210527,0.9,20,0,20,0,0,0,20,0,0,0,9,0,0,9,0,0,0,0,0,78,9,0,0,0,0,0,0,18,0,9,0,0,0,0,25,1,0
C:\projects\store-pos\src\model\Item.java,model.Item,class,0,8,8,0,16,1,0,0,78,0.8125,0.175,0.875,16,0,16,0,0,0,16,0,0,0,7,0,0,7,0,0,0,0,0,62,7,0,0,0,0,0,0,14,0,7,0,0,0,0,18,1,0
C:\projects\store-pos\src\controller\EditSalesController.java,controller.EditSalesController,class,25,29,4,25,50,1,0,96,0,0.8125001,0.76363635,1.0,18,0,10,7,0,1,11,0,0,0,32,1,1,27,0,4,1,0,41,394,0,7,5,8,5,148,39,107,33,116,5,0,0,6,197,1,0
