file,class,method,variable,usage
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,getSelectedRowTableView/0,itemId,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,getSelectedRowTableView/0,comboBoxUom,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,getSelectedRowTableView/0,selectedTableViewRow,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,getSelectedRowTableView/0,comboBoxLocation,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,getSelectedRowTableView/0,tableViewItem,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,getSelectedRowTableView/0,textFieldItem,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,getSelectedRowTableView/0,textFieldAmount,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,getSelectedRowTableView/0,textFieldQty,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,getSelectedRowTableView/0,textFieldPrice,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",comboBoxLocation,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",provider,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",tableViewItem,7
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",textFieldItem,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",textFieldParty,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",provider1,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculateDueAmount/0,textFieldTotalPaybleAmount,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculateDueAmount/0,textFieldTotalPaidAmount,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculateDueAmount/0,textFieldTotalDueAmount,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,AddSalesReturnController/0,con,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchItem/0,con,4
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchItem/0,provider,4
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchItem/0,textFieldItem,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchItem/0,items,5
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculatePrice/0,textFieldAmount,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculatePrice/0,textFieldPrice,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculatePrice/0,textFieldQty,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculateTotalAmount/0,textFieldTotalPaybleAmount,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculateTotalAmount/0,textFieldTotalAmount,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculateTotalAmount/0,tableViewItem,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculateTotalAmount/0,textFieldTotalOther,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculateTotalAmount/0,textFieldTotalQuantity,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,printInvoice/0,textFieldTotalAmount,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,printInvoice/0,textFieldTotalPaybleAmount,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,printInvoice/0,textFieldTotalPaidAmount,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,printInvoice/0,textFieldRemarks,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,printInvoice/0,tableViewItem,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,printInvoice/0,textFieldParty,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,printInvoice/0,textFieldTotalOther,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,printInvoice/0,textFieldTotalDueAmount,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,printInvoice/0,textFieldContact,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,printInvoice/0,textFieldTotalQuantity,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setUomAndPrice/0,comboBoxUom,4
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setUomAndPrice/0,itemId,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setUomAndPrice/0,con,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setUomAndPrice/0,textFieldItem,1
