file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,getSelectedRowTableView/0,false,412,1,7,0,7,2,20,15,0,1,0,20,0,0,0,0,0,0,0,10,3,0,1,0,0,0,9,1,0,false
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",false,126,3,0,0,0,1,13,37,0,13,2,13,0,0,0,0,0,0,20,1,11,0,0,0,0,2,38,1,0,false
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculateDueAmount/0,false,381,1,1,1,0,2,5,8,0,2,0,5,0,0,0,0,0,0,0,1,3,1,1,0,0,0,5,2,0,false
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,AddSalesReturnController/0,true,250,1,2,0,2,1,2,4,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setCustomer/0,false,498,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchItem/0,false,178,2,0,0,0,9,18,52,0,12,0,18,0,0,3,2,1,0,33,4,18,8,5,0,0,0,43,0,0,false
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculatePrice/0,false,335,0,1,1,0,3,6,9,0,3,0,6,0,0,0,0,0,1,0,2,4,3,1,0,0,0,5,1,0,false
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculateTotalAmount/0,false,392,2,3,2,1,2,11,16,0,9,0,11,1,1,0,0,1,0,0,3,6,3,1,0,0,4,12,2,0,false
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,printInvoice/0,false,501,4,9,1,8,3,15,30,0,6,0,15,0,0,1,0,1,0,18,0,6,0,2,0,0,0,51,1,0,false
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setUomAndPrice/0,false,255,0,0,0,0,3,17,27,0,6,0,17,0,0,0,0,1,0,13,2,8,2,2,0,0,0,36,1,0,false
