file,class,method,variable,usage
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,getSelectedRowTableView/0,collect,10
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",test,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",e,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",columnAmount,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",columnLocation,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",columnUom,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",test1,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",url,0
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",rb,0
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",columnItemId,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",columnItem,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",centerPostionCSS,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",columnPrice,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",columnQuantity,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,"initialize/2[java.net.URL,java.util.ResourceBundle]",rightPositionCSS,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculateDueAmount/0,paybleAmount,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculateDueAmount/0,paidAmount,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,AddSalesReturnController/0,dbc,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchItem/0,documentDate,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchItem/0,rs,9
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchItem/0,ex,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchItem/0,typedItem,6
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchItem/0,isNumeric,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchItem/0,selectedItem,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchItem/0,query,6
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchItem/0,pstmt,8
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchItem/0,filteredAutoCompletions,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchItem/0,stmt,0
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculatePrice/0,qty,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculatePrice/0,tot,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculatePrice/0,amt,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculateTotalAmount/0,amount,4
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,calculateTotalAmount/0,other,2
