file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\parser\SpreadsheetRowReferenceParserTokenTest.java,walkingkooka.spreadsheet.parser.SpreadsheetRowReferenceParserTokenTest$Anonymous1,anonymous,4,4,0,4,5,1,0,2,10,0.0,0.0,0.0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,5,0,0,0,0,0,0,0,0,13,-1,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\SpreadsheetValueVisitorSpreadsheetSelectionVisitor.java,walkingkooka.spreadsheet.SpreadsheetValueVisitorSpreadsheetSelectionVisitor,class,10,13,3,10,10,3,0,8,43,0.8,1.0,1.0,10,1,1,1,7,1,9,0,0,0,1,0,0,1,0,0,1,0,0,33,2,0,0,0,0,0,0,1,0,1,0,0,0,0,26,16,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\reference\SpreadsheetExpressionReferenceVisitorTest.java,walkingkooka.spreadsheet.reference.SpreadsheetExpressionReferenceVisitorTest,class,11,12,1,11,12,1,0,11,66,0.0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,78,5,0,0,0,0,7,0,4,0,4,0,4,0,1,32,17,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\format\FractionSpreadsheetFormatterComponentDigit.java,walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterComponentDigit,class,4,7,3,4,4,2,0,2,4,0.625,1.0,1.0,4,1,1,1,0,2,3,0,0,0,2,0,0,2,0,0,2,0,0,18,2,0,0,0,0,0,0,2,0,2,0,0,0,0,24,16,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\reference\SpreadsheetRowReference.java,walkingkooka.spreadsheet.reference.SpreadsheetRowReference,class,16,63,47,16,53,3,0,47,978,0.9666667,0.0,0.0,45,3,22,3,0,20,42,0,0,0,6,6,4,0,0,2,6,0,19,155,42,0,1,0,2,6,11,6,8,11,1,0,0,5,134,17,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\store\SpreadsheetCellStoresTest.java,walkingkooka.spreadsheet.store.SpreadsheetCellStoresTest,class,4,4,0,4,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\format\parser\SpreadsheetFormatDigitParserTokenTest.java,walkingkooka.spreadsheet.format.parser.SpreadsheetFormatDigitParserTokenTest$Anonymous1,anonymous,4,4,0,4,5,1,0,2,10,0.0,0.0,0.0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,5,0,0,0,0,0,0,0,0,13,-1,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\format\parser\SpreadsheetFormatParserTokenVisitorTest.java,walkingkooka.spreadsheet.format.parser.SpreadsheetFormatParserTokenVisitorTest$TestSpreadsheetFormatParserTokenVisitor,innerclass,4,4,0,4,5,2,0,2,10,0.8,1.0,1.0,5,0,0,0,4,1,5,0,0,0,2,0,0,0,0,2,2,0,0,27,2,0,0,0,0,4,0,2,0,2,0,0,0,0,16,1032,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\parser\SpreadsheetRowReferenceParserTokenTest.java,walkingkooka.spreadsheet.parser.SpreadsheetRowReferenceParserTokenTest,class,9,10,1,9,10,4,0,13,45,0.0,0.0,0.0,10,0,8,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,1,59,6,0,0,0,0,7,2,2,0,2,0,1,0,1,34,17,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\parser\SpreadsheetGreaterThanSymbolParserToken.java,walkingkooka.spreadsheet.parser.SpreadsheetGreaterThanSymbolParserToken,class,5,13,8,5,6,2,0,3,15,0.0,0.0,0.0,6,1,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,43,17,0
