file,class,method,variable,usage
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\SpreadsheetValueVisitorSpreadsheetSelectionVisitor.java,walkingkooka.spreadsheet.SpreadsheetValueVisitorSpreadsheetSelectionVisitor,visit/1[walkingkooka.spreadsheet.reference.SpreadsheetRowReference],visitor,1
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\SpreadsheetValueVisitorSpreadsheetSelectionVisitor.java,walkingkooka.spreadsheet.SpreadsheetValueVisitorSpreadsheetSelectionVisitor,visit/1[walkingkooka.spreadsheet.reference.SpreadsheetCellRange],visitor,1
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\SpreadsheetValueVisitorSpreadsheetSelectionVisitor.java,walkingkooka.spreadsheet.SpreadsheetValueVisitorSpreadsheetSelectionVisitor,with/1[walkingkooka.spreadsheet.SpreadsheetValueVisitor],visitor,2
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\SpreadsheetValueVisitorSpreadsheetSelectionVisitor.java,walkingkooka.spreadsheet.SpreadsheetValueVisitorSpreadsheetSelectionVisitor,visit/1[walkingkooka.spreadsheet.reference.SpreadsheetColumnReference],visitor,1
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\SpreadsheetValueVisitorSpreadsheetSelectionVisitor.java,walkingkooka.spreadsheet.SpreadsheetValueVisitorSpreadsheetSelectionVisitor,toString/0,visitor,1
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\SpreadsheetValueVisitorSpreadsheetSelectionVisitor.java,walkingkooka.spreadsheet.SpreadsheetValueVisitorSpreadsheetSelectionVisitor,visit/1[walkingkooka.spreadsheet.reference.SpreadsheetLabelName],visitor,1
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\SpreadsheetValueVisitorSpreadsheetSelectionVisitor.java,walkingkooka.spreadsheet.SpreadsheetValueVisitorSpreadsheetSelectionVisitor,visit/1[walkingkooka.spreadsheet.reference.SpreadsheetColumnReferenceRange],visitor,1
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\SpreadsheetValueVisitorSpreadsheetSelectionVisitor.java,walkingkooka.spreadsheet.SpreadsheetValueVisitorSpreadsheetSelectionVisitor,visit/1[walkingkooka.spreadsheet.reference.SpreadsheetRowReferenceRange],visitor,1
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\SpreadsheetValueVisitorSpreadsheetSelectionVisitor.java,walkingkooka.spreadsheet.SpreadsheetValueVisitorSpreadsheetSelectionVisitor,SpreadsheetValueVisitorSpreadsheetSelectionVisitor/1[walkingkooka.spreadsheet.SpreadsheetValueVisitor],visitor,3
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\SpreadsheetValueVisitorSpreadsheetSelectionVisitor.java,walkingkooka.spreadsheet.SpreadsheetValueVisitorSpreadsheetSelectionVisitor,visit/1[walkingkooka.spreadsheet.reference.SpreadsheetCellReference],visitor,1
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\format\FractionSpreadsheetFormatterComponentDigit.java,walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterComponentDigit,append/1[walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterContext],zero,1
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\format\FractionSpreadsheetFormatterComponentDigit.java,walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterComponentDigit,append/1[walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterContext],position,1
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\format\FractionSpreadsheetFormatterComponentDigit.java,walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterComponentDigit,"FractionSpreadsheetFormatterComponentDigit/2[int,walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterZero]",zero,3
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\format\FractionSpreadsheetFormatterComponentDigit.java,walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterComponentDigit,"FractionSpreadsheetFormatterComponentDigit/2[int,walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterZero]",position,3
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\format\FractionSpreadsheetFormatterComponentDigit.java,walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterComponentDigit,toString/0,zero,1
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\format\FractionSpreadsheetFormatterComponentDigit.java,walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterComponentDigit,"with/2[int,walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterZero]",zero,2
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\format\FractionSpreadsheetFormatterComponentDigit.java,walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterComponentDigit,"with/2[int,walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterZero]",position,2
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\reference\SpreadsheetRowReference.java,walkingkooka.spreadsheet.reference.SpreadsheetRowReference,checkValue/1[int],MAX_VALUE,1
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\reference\SpreadsheetRowReference.java,walkingkooka.spreadsheet.reference.SpreadsheetRowReference,max/0,MAX_VALUE,1
