file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\wfhir\src\main\java\org\dew\fhir\model\AccountCoverage.java,org.dew.fhir.model.AccountCoverage,class,5,7,2,5,10,3,0,3,16,0.75,0.21428572,0.35714287,8,0,8,0,0,0,8,0,0,0,3,1,0,1,2,0,1,0,0,32,7,0,2,0,0,4,2,3,1,3,1,0,0,0,51,1,0
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ChargeItemDefinitionApplicability.java,org.dew.fhir.model.ChargeItemDefinitionApplicability,class,2,5,3,2,10,3,0,3,24,0.8333333,0.071428575,0.071428575,8,0,8,0,0,0,8,0,0,0,3,1,0,1,2,0,1,0,0,32,7,0,2,0,0,2,2,3,1,3,1,0,0,0,61,1,0
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,class,9,10,1,9,40,3,0,3,669,0.95029247,0.024182077,0.024182077,38,0,38,0,0,0,38,0,0,0,18,1,0,1,17,0,1,0,0,138,22,0,2,0,0,3,2,19,1,18,1,0,0,0,62,1,0
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ChargeItemDefinitionPropertyGroup.java,org.dew.fhir.model.ChargeItemDefinitionPropertyGroup,class,4,6,2,4,10,3,0,3,24,0.8333333,0.071428575,0.071428575,8,0,8,0,0,0,8,0,0,0,3,1,0,1,2,0,1,0,0,32,7,0,2,0,0,2,2,3,1,3,1,0,0,0,63,1,0
C:\projects\wfhir\src\main\java\org\dew\fhir\model\InsurancePlanGeneralCost.java,org.dew.fhir.model.InsurancePlanGeneralCost,class,4,6,2,4,14,3,0,3,58,0.8666666,0.060606062,0.060606062,12,0,12,0,0,0,12,0,0,0,5,1,0,1,4,0,1,0,0,46,9,0,2,0,0,2,2,5,1,5,1,0,0,0,48,1,0
C:\projects\wfhir\src\main\java\org\dew\fhir\model\TestReportTeardown.java,org.dew.fhir.model.TestReportTeardown,class,3,5,2,3,8,2,0,3,13,0.8333334,0.06666667,0.06666667,6,0,6,0,0,0,6,0,0,0,2,1,0,1,1,0,1,0,0,25,6,0,2,0,0,2,2,2,1,2,1,0,0,0,38,1,0
C:\projects\wfhir\src\main\java\org\dew\fhir\model\CarePlanActivity.java,org.dew.fhir.model.CarePlanActivity,class,7,9,2,7,16,3,0,3,81,0.8809524,0.054945055,0.054945055,14,0,14,0,0,0,14,0,0,0,6,1,0,1,5,0,1,0,0,53,10,0,2,0,0,2,2,6,1,6,1,0,0,0,53,1,0
C:\projects\wfhir\src\main\java\org\dew\fhir\model\PractitionerQualification.java,org.dew.fhir.model.PractitionerQualification,class,7,9,2,7,14,2,0,3,54,0.85,0.09090909,0.09090909,12,0,12,0,0,0,12,0,0,0,5,1,0,1,4,0,1,0,0,46,9,0,2,0,0,3,2,5,1,5,1,0,0,0,61,1,0
C:\projects\wfhir\src\main\java\org\dew\fhir\json\JSONObject.java,org.dew.fhir.json.JSONObject,class,7,11,4,7,368,1,0,157,2341,0.9201878,0.02253521,0.02253521,71,14,67,1,0,3,71,0,2,0,3,2,2,1,0,0,2,0,84,1073,134,20,54,21,42,119,94,173,54,137,5,0,1,0,455,1,0
C:\projects\wfhir\src\main\java\org\dew\fhir\model\SubstancePolymerStartingMaterial.java,org.dew.fhir.model.SubstancePolymerStartingMaterial,class,4,6,2,4,14,2,0,3,58,0.8666666,0.060606062,0.060606062,12,0,12,0,0,0,12,0,0,0,5,1,0,1,4,0,1,0,0,46,9,0,2,0,0,2,2,5,1,5,1,0,0,0,39,1,0
