file,class,method,variable,usage
C:\projects\wfhir\src\main\java\org\dew\fhir\model\AccountCoverage.java,org.dew.fhir.model.AccountCoverage,setCoverage/1[org.dew.fhir.model.Reference<org.dew.fhir.model.Resource>],coverage,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\AccountCoverage.java,org.dew.fhir.model.AccountCoverage,toString/0,coverage,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\AccountCoverage.java,org.dew.fhir.model.AccountCoverage,toString/0,priority,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\AccountCoverage.java,org.dew.fhir.model.AccountCoverage,getPriority/0,priority,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\AccountCoverage.java,org.dew.fhir.model.AccountCoverage,getCoverage/0,coverage,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\AccountCoverage.java,org.dew.fhir.model.AccountCoverage,setPriority/1[java.lang.Integer],priority,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ChargeItemDefinitionApplicability.java,org.dew.fhir.model.ChargeItemDefinitionApplicability,getExpression/0,expression,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ChargeItemDefinitionApplicability.java,org.dew.fhir.model.ChargeItemDefinitionApplicability,setExpression/1[java.lang.String],expression,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ChargeItemDefinitionApplicability.java,org.dew.fhir.model.ChargeItemDefinitionApplicability,getDescription/0,description,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ChargeItemDefinitionApplicability.java,org.dew.fhir.model.ChargeItemDefinitionApplicability,setDescription/1[java.lang.String],description,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setProcess/1[org.dew.fhir.model.ExampleScenarioProcess[]],process,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,getInstance/0,instance,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setPurpose/1[java.lang.String],purpose,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,getStatus/0,status,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setDate/1[java.util.Date],date,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setWorkflow/1[java.lang.String[]],workflow,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,getPurpose/0,purpose,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setInstance/1[org.dew.fhir.model.ExampleScenarioInstance[]],instance,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setExperimental/1[java.lang.Boolean],experimental,3
