file,class,method,variable,usage
C:\projects\wfhir\src\main\java\org\dew\fhir\model\AccountCoverage.java,org.dew.fhir.model.AccountCoverage,setCoverage/1[org.dew.fhir.model.Reference<org.dew.fhir.model.Resource>],coverage,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\AccountCoverage.java,org.dew.fhir.model.AccountCoverage,equals/1[java.lang.Object],object,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\AccountCoverage.java,org.dew.fhir.model.AccountCoverage,setPriority/1[java.lang.Integer],priority,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ChargeItemDefinitionApplicability.java,org.dew.fhir.model.ChargeItemDefinitionApplicability,setExpression/1[java.lang.String],expression,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ChargeItemDefinitionApplicability.java,org.dew.fhir.model.ChargeItemDefinitionApplicability,setDescription/1[java.lang.String],description,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ChargeItemDefinitionApplicability.java,org.dew.fhir.model.ChargeItemDefinitionApplicability,equals/1[java.lang.Object],object,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setProcess/1[org.dew.fhir.model.ExampleScenarioProcess[]],process,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setPurpose/1[java.lang.String],purpose,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,equals/1[java.lang.Object],object,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setDate/1[java.util.Date],date,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setWorkflow/1[java.lang.String[]],workflow,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setInstance/1[org.dew.fhir.model.ExampleScenarioInstance[]],instance,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setExperimental/1[java.lang.Boolean],experimental,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setVersion/1[java.lang.String],version,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setActor/1[org.dew.fhir.model.ExampleScenarioActor[]],actor,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setCopyright/1[java.lang.String],copyright,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setPublisher/1[java.lang.String],publisher,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setIdentifier/1[org.dew.fhir.model.Identifier[]],identifier,2
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setUrl/1[java.lang.String],url,2
